id,Importers,Company,Export Value
1,United States,Skipstorm,1781
2,Yemen,Zoomzone,1044
3,Philippines,Voonix,1130
4,Canada,Divavu,1566
5,China,Kwilith,1332
6,Sweden,Wordify,1255
7,China,Skiptube,1534
8,Dominican Republic,Feednation,1759
9,Poland,Photospace,1632
10,Brazil,Oyondu,1379
11,Kazakhstan,Skidoo,1360
12,Thailand,Skippad,1969
13,Cyprus,Tazz,1685
14,South Africa,Zoomlounge,1294
15,China,Rooxo,1773
16,Indonesia,Cogilith,1522
17,Martinique,Tagopia,1429
18,Philippines,Wikizz,1335
19,Laos,Zoombeat,1369
20,Latvia,Kwimbee,1284
21,Czech Republic,Yotz,1920
22,China,Trudoo,1568
23,Philippines,Tagchat,1477
24,China,Eabox,1573
25,Greece,Quire,1237
26,China,Voomm,1226
27,Japan,Buzzdog,1556
28,South Africa,Geba,1013
29,Colombia,Talane,1126
30,Russia,Blogtag,1947
31,Russia,Gigashots,1493
32,Nigeria,Demizz,1899
33,Russia,Camimbo,1990
34,Moldova,Kazio,1423
35,Poland,Flashspan,1538
36,China,Digitube,1026
37,Poland,Fivespan,1067
38,Kenya,Meeveo,1808
39,China,Youbridge,1203
40,Thailand,Wikizz,1289
41,China,Jabbertype,1065
42,Sweden,Zoombeat,1072
43,Norway,Quire,1616
44,Sweden,Eidel,1528
45,Iran,Eayo,1300
46,Indonesia,Wikizz,1553
47,Croatia,Leenti,1171
48,Indonesia,Ainyx,1595
49,China,Zooveo,1899
50,Philippines,Ntag,1155
51,Portugal,Dynazzy,1539
52,Costa Rica,Gigashots,1649
53,Poland,Babbleopia,1525
54,Nepal,Tagchat,1837
55,Argentina,Realpoint,1991
56,Afghanistan,Feedspan,1608
57,China,Zooxo,1193
58,Philippines,Babbleset,1872
59,Japan,Jaxworks,1905
60,Peru,Zoomcast,1936
61,Poland,Kimia,1186
62,Portugal,Eamia,1257
63,France,Babblestorm,1155
64,Russia,Yabox,1809
65,Palestinian Territory,Voolia,1451
66,France,Skimia,1745
67,Indonesia,Avamba,1472
68,Iran,Fiveclub,1527
69,China,Buzzster,1885
70,China,Ntags,1708
71,China,Livetube,1710
72,Myanmar,Divape,1073
73,Zimbabwe,BlogXS,1918
74,China,Zoozzy,1640
75,Madagascar,Yodel,1030
76,Reunion,Brightbean,1993
77,Portugal,Meezzy,1938
78,Panama,Divanoodle,1771
79,Indonesia,Vinder,1733
80,China,Skinix,1174
81,Haiti,Flashset,1526
82,France,Divanoodle,1596
83,Portugal,Kwimbee,1231
84,Spain,Flipbug,1418
85,Malta,Vimbo,1787
86,Saudi Arabia,Ntag,1014
87,Spain,Dazzlesphere,1723
88,China,Innojam,1897
89,Tajikistan,Skipfire,1113
90,Philippines,Fliptune,1654
91,China,Yodo,1115
92,United States,Dablist,1191
93,South Africa,Oyondu,1304
94,Ukraine,Blogpad,1387
95,Indonesia,Bluejam,1255
96,Canada,Babblestorm,1461
97,Russia,Meedoo,1753
98,China,Trunyx,1706
99,China,Tagcat,1003
100,China,Skinix,1691
101,China,Fivebridge,1405
102,Portugal,Linkbuzz,1408
103,China,Ainyx,1042
104,United States,Realfire,1995
105,China,Voonyx,1388
106,China,Zava,1846
107,Israel,Thoughtsphere,1024
108,Indonesia,Leenti,1044
109,Serbia,Yata,1958
110,Russia,Zoonder,1461
111,Indonesia,Roomm,1813
112,China,Zoonoodle,1470
113,Kazakhstan,Gabtune,1107
114,Ireland,Riffwire,1510
115,Indonesia,Muxo,1662
116,China,Gevee,1388
117,Indonesia,Thoughtbridge,1404
118,France,Rhybox,1659
119,China,Topdrive,1087
120,Brazil,Dynabox,1712
121,Sierra Leone,Lajo,1733
122,Tanzania,Skinix,1137
123,Rwanda,Quatz,1785
124,Italy,Babbleblab,1902
125,Russia,Realfire,1040
126,Philippines,Snaptags,1247
127,Indonesia,Tazz,1766
128,Ukraine,Meemm,1674
129,Brazil,Zoomzone,1337
130,Russia,Dazzlesphere,1222
131,Ukraine,Dynava,1918
132,Netherlands,Minyx,1374
133,Indonesia,Mydo,1562
134,Sweden,Kwimbee,1585
135,Thailand,Eire,1871
136,China,Babbleblab,1720
137,Bolivia,Ozu,1961
138,Canada,Ntag,1427
139,Saint Kitts and Nevis,Chatterbridge,1360
140,Brazil,Quaxo,1399
141,China,Linkbuzz,1606
142,Greece,Photojam,1105
143,Costa Rica,Quimm,1653
144,Colombia,Layo,1952
145,Russia,Feedfire,1138
146,Marshall Islands,Dabfeed,1267
