id,Importers,Company,Export Value
1,Indonesia,Zoomzone,1054
2,Czech Republic,Brainverse,1948
3,Indonesia,Kazio,1585
4,Indonesia,Kazio,1052
5,South Africa,Feedfish,1027
6,Russia,Photofeed,1394
7,China,Kamba,1549
8,Russia,Voonyx,1264
9,Indonesia,Katz,1700
10,Cuba,Zoonoodle,1890
11,Papua New Guinea,Meejo,1351
12,Greece,Yadel,1236
13,Colombia,Tagpad,1805
14,Brazil,Shufflebeat,1503
15,China,Quatz,1450
16,Brazil,Twimbo,1081
17,Indonesia,Demimbu,1058
18,China,Photospace,1769
19,China,Edgewire,1223
20,East Timor,Quimba,1155
21,Switzerland,Realfire,1504
22,Spain,Fadeo,1661
23,China,Jayo,1918
24,Tunisia,Innotype,1344
25,China,Reallinks,1173
26,China,Flashset,1932
27,Russia,Dazzlesphere,1358
28,Russia,Oba,1250
29,China,Eayo,1239
30,Mexico,Pixonyx,1699
31,Philippines,Jetwire,1704
32,Armenia,Divape,1336
33,China,Bubblemix,1659
34,China,Jayo,1996
35,Russia,Tavu,1501
36,Sweden,Agivu,1874
37,China,Bubblemix,1292
38,Nepal,Thoughtmix,1515
39,Norway,Vitz,1492
40,China,Wikizz,1630
41,Portugal,Abata,1399
42,Greece,Dabvine,1903
43,Indonesia,LiveZ,1644
44,Belarus,Avamm,1408
45,China,Trupe,1935
46,Aruba,Tavu,1936
47,Ivory Coast,Jayo,1421
48,Indonesia,Livetube,1479
49,Peru,Twitternation,1645
50,China,Thoughtmix,1454
51,Cameroon,Twitterbeat,1885
52,China,Skidoo,1398
53,China,Tanoodle,1472
54,Indonesia,Devify,1873
55,Madagascar,Skyndu,1272
56,Russia,Rhyzio,1642
57,Colombia,Meetz,1643
58,Russia,Topicstorm,1628
59,Japan,Voomm,1801
60,Portugal,Rhynoodle,1108
61,Ukraine,Skiba,1678
62,Nepal,Fivebridge,1258
63,Colombia,Zoomlounge,1952
64,Greece,Flashdog,1913
65,China,Jetwire,1589
66,Brazil,Trunyx,1239
67,Poland,Demizz,1858
68,Jamaica,Topiclounge,1109
69,Thailand,Izio,1341
70,Indonesia,Ntag,1344
71,China,Jabberbean,1742
72,Indonesia,Wordtune,1641
73,Czech Republic,Mymm,1828
74,Mexico,Kwilith,1490
75,South Africa,Avamba,1454
76,Philippines,Quatz,1653
77,China,Twitterlist,1783
78,France,Fiveclub,1458
79,Brazil,Yombu,1882
80,China,Brainverse,1688
81,Greece,Realblab,1293
82,Brazil,Dazzlesphere,1462
83,United States,Zava,1333
84,France,Buzzshare,1031
85,Japan,Camimbo,1217
86,France,Flashset,1898
87,Turkmenistan,Jaxspan,1009
88,Brazil,Livetube,1565
89,Argentina,Oyope,1765
90,Paraguay,JumpXS,1071
91,Thailand,Myworks,1031
92,Ukraine,Roomm,1339
93,Poland,Gigazoom,1939
94,China,Livetube,1499
95,Philippines,Yombu,1339
96,Argentina,Devbug,1338
97,Ukraine,Skaboo,1018
98,United States,Aimbo,1715
99,China,Dabtype,1278
100,China,Avavee,1450
101,Estonia,Wikivu,1980
102,China,Devcast,1141
103,Georgia,Kwilith,1056
104,Nepal,Zoombeat,1643
105,Japan,Yodoo,1438
106,Nicaragua,Vipe,1796
107,Indonesia,Youspan,1786
108,United States,Skyvu,1685
109,Philippines,Skinix,1702
110,United States,Youfeed,1539
111,Bulgaria,Linktype,1340
112,Macedonia,Wikivu,1222
113,Argentina,Livetube,1148
114,United States,Photojam,1572
115,Ukraine,Rhybox,1486
116,Indonesia,Abata,1582
117,Canada,Zoombox,1768
118,Thailand,Feedbug,1383
119,China,Oloo,1397
120,United States,Zoozzy,1770
121,Portugal,Kare,1408
122,Japan,Mydo,1163
123,Philippines,Edgeblab,1975
124,South Korea,Realbuzz,1063
125,Japan,Voomm,1298
126,Philippines,Thoughtblab,1648
127,China,Gabtune,1633
128,Philippines,Linkbridge,1393
129,Indonesia,Youspan,1666
130,Japan,Youfeed,1699
131,China,Midel,1942
132,Namibia,Buzzshare,1676
133,China,Reallinks,1473
134,France,Voonix,1873
135,Czech Republic,Fivechat,1634
136,Philippines,Jabberbean,1790
137,Philippines,Cogibox,1514
138,Indonesia,Agimba,1383
139,Colombia,Yabox,1176
140,South Africa,Gigabox,1296
141,Philippines,Quire,1390
142,Japan,Demivee,1950
143,Sweden,Omba,1085
144,Poland,Yodo,1607
145,Marshall Islands,Cogidoo,1700
146,Indonesia,Youfeed,1790
147,United Kingdom,Topiczoom,1959
148,Indonesia,Mita,1737
149,Philippines,Meevee,1811
150,Ukraine,Twitterworks,1708
151,Azerbaijan,Avamm,1377
152,Philippines,Muxo,1824
153,Sweden,Realblab,1419
154,Palestinian Territory,Tekfly,1307
155,United States,Devpoint,1415
156,United States,Dynabox,1555
157,China,Zooxo,1378
158,Philippines,Talane,1085
159,Indonesia,Realblab,1657
160,Thailand,Meemm,1299
161,Portugal,Einti,1465
162,Nicaragua,Linktype,1767
163,Argentina,Brightbean,1320
164,Portugal,Gabcube,1719
165,Philippines,Vimbo,1609
166,Canada,Yata,1113
167,Argentina,Blogtag,1260
168,Philippines,Innotype,1843
169,Poland,Realcube,1753
170,Thailand,Vitz,1541
171,United States,Trudeo,1982
172,Tanzania,Feedmix,1584
173,Mexico,Thoughtbeat,1377
174,Russia,Yodoo,1868
175,France,Plajo,1112
176,China,Jabbertype,1367
177,Colombia,Voolith,1211
178,Argentina,Jabberstorm,1206
179,Croatia,Tagcat,1576
180,China,Zoombox,1322
181,Afghanistan,Innotype,1314
182,Vietnam,Meevee,1783
183,South Korea,Yotz,1487
184,China,Yadel,1139
185,Indonesia,Meevee,1085
186,Palestinian Territory,Dablist,1988
187,Philippines,Brightbean,1031
188,Canada,Livetube,1209
189,China,Thoughtstorm,1167
190,Poland,Blognation,1404
191,China,Bubbletube,1818
192,United States,Zoonoodle,1398
193,Russia,Quatz,1688
194,Norway,Voomm,1512
195,Jamaica,Eabox,1190
196,Netherlands,Dynabox,1079
197,Kiribati,Brainlounge,1629
198,Brazil,Fadeo,1356
199,Portugal,Rhybox,1684
200,China,Jamia,1338
