id,Importers,Company,Export Value
1,Ukraine,Gabtune,1847
2,Macedonia,Skiba,1402
3,China,Voomm,1541
4,Northern Mariana Islands,Skilith,1710
5,Indonesia,Wordpedia,1016
6,Philippines,Oozz,1917
7,Azerbaijan,Skynoodle,1973
8,Argentina,Kwimbee,1143
9,China,Nlounge,1258
10,Afghanistan,Rhynoodle,1579
11,China,Browseblab,1718
12,Indonesia,Zoomcast,1254
13,China,Eidel,1771
14,France,Trilia,1546
15,South Africa,Skimia,1853
16,China,Twinder,1375
17,Indonesia,Edgetag,1108
18,Palestinian Territory,Kwinu,1030
19,Serbia,Yodel,1948
20,Russia,Lazz,1109
21,United States,Zoovu,1648
22,Thailand,Flipbug,1819
23,Indonesia,Eare,1946
24,Greece,Demivee,1628
25,Afghanistan,Camido,1169
26,Jamaica,Ozu,1421
27,Canada,Fivespan,1741
28,Poland,Eazzy,1479
29,China,Linklinks,1515
30,Nicaragua,Shufflebeat,1981
31,Philippines,Mudo,1356
32,China,Chatterbridge,1561
33,Czech Republic,Bubblebox,1630
34,China,Devpulse,1393
35,Uruguay,Ntags,1580
36,France,Eare,1886
37,Afghanistan,Yadel,1975
38,Bangladesh,Zoombox,1537
39,Poland,Edgeify,1592
40,Netherlands,Zoovu,1697
41,Indonesia,Eayo,1738
42,Saint Lucia,Centidel,1059
43,Afghanistan,Leenti,1603
44,Indonesia,Feedspan,1306
45,Brazil,Quamba,1384
46,Colombia,Wikizz,1666
47,Russia,Voomm,1728
48,France,Yamia,1794
49,Poland,Edgetag,1115
50,Indonesia,Skyndu,1554
51,Indonesia,Livepath,1125
52,Philippines,Wikizz,1128
53,Sweden,Brightdog,1742
54,Czech Republic,Pixope,1181
55,Portugal,Zoombeat,1999
56,Argentina,Jaloo,1379
57,Denmark,Thoughtblab,1836
58,Cameroon,Nlounge,1744
59,Portugal,Fadeo,1348
60,Poland,Brightdog,1480
61,United States,Yadel,1280
62,Canada,Yakidoo,1294
63,Brazil,Gigaclub,1261
64,Chile,Blognation,1063
65,Philippines,Fiveclub,1137
66,China,Dablist,1436
67,Russia,Yakidoo,1363
68,China,Zoombeat,1489
69,Egypt,Kayveo,1599
70,China,Zoomcast,1905
71,Russia,Livefish,1787
72,Russia,Quatz,1866
73,Philippines,Kimia,1770
74,China,Blogpad,1253
75,Portugal,Oyope,1316
76,Ukraine,Camido,1385
77,Indonesia,Thoughtblab,1150
78,Sweden,Thoughtstorm,1544
79,Philippines,Gevee,1907
80,Argentina,Yombu,1870
81,France,Livepath,1022
82,Indonesia,Quinu,1137
83,Lithuania,Eabox,1752
84,Namibia,Jaloo,1359
85,Russia,Eare,1246
86,Poland,Zoonder,1008
87,Russia,Quamba,1692
88,Azerbaijan,Livetube,1584
89,Peru,Eare,1156
90,Finland,Voonte,1243
91,Ukraine,Devify,1011
92,Ukraine,Wikido,1062
93,Guinea,Wikivu,1293
94,Mexico,Edgetag,1318
95,Poland,Realpoint,1457
96,Russia,Yacero,1123
97,Liechtenstein,Eidel,1441
98,Afghanistan,Oodoo,1520
99,Armenia,Meezzy,1212
100,Slovenia,Fivechat,1351
101,Indonesia,Kimia,1205
102,China,Meevee,1577
103,Indonesia,Fadeo,1313
104,Philippines,Photolist,1459
105,France,JumpXS,1372
106,Indonesia,Photobug,1802
107,Philippines,Skiptube,1427
108,Brazil,Aimbu,1489
109,Canada,Ntag,1836
110,Greece,Skipstorm,1672
111,China,Bubbletube,1881
112,Tunisia,Jabbersphere,1506
113,Sweden,Dynabox,1298
114,Philippines,Agimba,1146
115,Indonesia,Mydeo,1164
116,Portugal,Kazu,1938
117,China,Blogtag,1551
118,China,Agimba,1773
119,Russia,Podcat,1226
120,Russia,Vimbo,1393
121,Indonesia,Trunyx,1538
122,Vietnam,Lazzy,1651
123,Paraguay,Topicshots,1633
124,Indonesia,Yozio,1714
125,France,Jetpulse,1214
126,South Africa,Vidoo,1991
127,Ireland,Eadel,1253
128,France,Tagcat,1056
129,Lebanon,Yabox,1806
130,Indonesia,Kwideo,1841
131,Mongolia,Skimia,1619
132,China,Myworks,1048
133,Sweden,Mydo,1272
134,Indonesia,Yamia,1549
135,Cape Verde,Voonyx,1469
136,Brazil,Youtags,1049
137,Estonia,Lazz,1083
138,United States,Rooxo,1141
139,Japan,Twimm,1877
140,Poland,Zoomzone,1932
141,Brazil,Teklist,1273
142,Macedonia,Dabvine,1327
143,Portugal,Snaptags,1565
144,Dominican Republic,Gigazoom,1849
145,Czech Republic,Latz,1702
146,Finland,Oyope,1709
147,Russia,Twinte,1257
148,China,Shuffletag,1489
149,Russia,Roomm,1551
150,China,Gabtune,1028
151,United States,Skaboo,1486
152,Sri Lanka,Wikizz,1254
153,China,Kaymbo,1344
154,China,Photobug,1471
155,Portugal,Photolist,1527
156,China,Tavu,1427
157,Mexico,Bubbletube,1912
158,Morocco,Tavu,1584
159,Kazakhstan,Skinix,1864
160,Mongolia,Oyoba,1868
161,China,Trudeo,1599
162,Colombia,Oyoloo,1780
163,Indonesia,Skivee,1315
164,China,Gabcube,1239
165,Vietnam,Twitterworks,1243
166,Indonesia,Divape,1360
167,North Korea,Jayo,1790
168,Poland,Youspan,1634
169,Russia,Geba,1763
170,Comoros,Meevee,1209
171,Portugal,Zoonder,1522
172,Cameroon,Innotype,1236
173,Philippines,Mynte,1216
174,Portugal,Kwimbee,1314
175,Argentina,Youspan,1111
176,Mexico,Voomm,1789
177,Turkmenistan,Cogibox,1401
178,China,Vinder,1493
179,Indonesia,Rhyzio,1891
180,Thailand,Twimbo,1745
181,Iran,Yodel,1848
182,Peru,Vipe,1750
183,Indonesia,Browseblab,1879
184,France,Vinder,1057
185,Indonesia,Photobug,1873
186,China,Kaymbo,1681
187,China,Abatz,1008
188,Germany,Skinix,1376
189,Ukraine,Voonix,1609
190,Kazakhstan,Skajo,1578
191,China,Zazio,1276
192,Paraguay,Kwideo,1626
193,Portugal,Eazzy,1693
194,Poland,Yacero,1966
195,Pakistan,Chatterpoint,1448
196,Brazil,Brightdog,1745
197,Philippines,Chatterpoint,1650
198,Mauritius,Jaxnation,1407
199,Thailand,Browsedrive,1682
200,Montserrat,Feednation,1754
