id,Importers,Company,Export Value
1,Portugal,Devify,1541
2,Indonesia,Teklist,1772
3,Brazil,Brightbean,1105
4,Philippines,Agivu,1556
5,Brazil,Jaloo,1422
6,Russia,Dynava,1048
7,Sweden,Yakijo,1228
8,Brazil,Gabcube,1636
9,Russia,Meetz,1479
10,Cuba,Blogpad,1176
11,Peru,Fiveclub,1504
12,Russia,Centimia,1166
13,Venezuela,Meezzy,1991
14,Vietnam,Digitube,1878
15,Philippines,Photobug,1332
16,Poland,Jaxnation,1181
17,Kenya,Browsedrive,1722
18,Indonesia,Babbleblab,1384
19,Russia,Kayveo,1782
20,France,Roombo,1543
21,Ukraine,InnoZ,1504
22,Philippines,Rhycero,1318
23,Argentina,Zava,1800
24,China,Tagpad,1640
25,Russia,Feedbug,1795
26,Vietnam,Omba,1225
27,United States,Edgeify,1461
28,Indonesia,Lazzy,1260
29,Brazil,Feedfire,1113
30,Indonesia,Centidel,1908
31,Ukraine,Zazio,1108
32,United States,Thoughtmix,1679
33,Israel,Blogspan,1472
34,Spain,Aivee,1135
35,China,Livetube,1090
36,South Africa,Fivechat,1442
37,China,Buzzbean,1226
38,Russia,Thoughtblab,1082
39,Russia,Livepath,1983
40,Czech Republic,Thoughtmix,1909
41,Brazil,Divanoodle,1722
42,China,Katz,1819
43,Portugal,Eadel,1428
44,Japan,Jayo,1546
45,Brazil,Feednation,1189
46,Indonesia,Minyx,1259
47,Latvia,Livepath,1527
48,Yemen,Flashset,1312
49,Russia,Photospace,1931
50,China,Oozz,1361
51,Namibia,Jazzy,1930
52,Philippines,Yakitri,1843
53,Indonesia,Jabbertype,1602
54,United States,Lazz,1513
55,United States,Blogtag,1978
56,Portugal,Roombo,1626
57,South Korea,Voolith,1400
58,Venezuela,Katz,1745
59,United States,Riffpath,1813
60,China,Twinte,1543
61,Canada,Zoombox,1992
62,Philippines,Jayo,1684
63,Sweden,Photospace,1678
64,Peru,Skivee,1758
65,Australia,Devpulse,1842
66,France,Innotype,1301
67,China,Ailane,1786
68,Indonesia,Mynte,1539
69,China,Aibox,1980
70,China,Jatri,1105
71,Argentina,Oyope,1410
72,Japan,Jaloo,1043
73,Portugal,Jetpulse,1999
74,Serbia,Edgeclub,1846
75,China,Fivespan,1454
76,Pakistan,Twitterbeat,1645
77,China,Tambee,1699
78,Yemen,Camido,1921
79,Nigeria,Gabcube,1326
80,Philippines,Reallinks,1393
81,Kosovo,Bubbletube,1463
82,Peru,Meezzy,1838
83,Philippines,Gigazoom,1431
84,Sri Lanka,Lajo,1469
85,Argentina,Twitterbeat,1186
86,United Kingdom,Trilith,1732
87,Russia,Yakitri,1975
88,Finland,Devpulse,1374
89,Brazil,Gigabox,1193
90,Brazil,Flipstorm,1802
91,Venezuela,Demivee,1913
92,Russia,Flipbug,1871
93,El Salvador,Browsezoom,1448
94,China,Abata,1005
95,Indonesia,Chatterpoint,1570
96,Greece,Dabvine,1405
97,Indonesia,Ooba,1483
98,China,Rhyzio,1775
99,Philippines,Linktype,1051
100,Brazil,Yabox,1571
101,Ukraine,Fivechat,1364
102,Argentina,Npath,1194
103,Poland,Oyope,1681
104,Russia,Abatz,1942
105,Ukraine,Trupe,1745
106,Norway,Tazz,1709
107,France,Aivee,1339
108,Democratic Republic of the Congo,Twiyo,1815
109,France,Teklist,1336
110,China,Meedoo,1677
111,France,Eabox,1018
112,Qatar,Feedbug,1176
113,China,Oodoo,1570
114,Tunisia,Youfeed,1354
115,Indonesia,Skinder,1184
116,Colombia,Skiptube,1341
117,Niger,Devcast,1904
118,United States,Wordify,1828
119,Russia,Gigazoom,1468
120,Jordan,Kazio,1332
121,China,Bubbletube,1449
122,Russia,Edgeclub,1373
123,China,Yozio,1288
124,China,Yadel,1538
125,Russia,Babbleblab,1744
126,Sweden,Lazzy,1905
127,Ethiopia,Quinu,1991
128,Portugal,Jaxspan,1524
129,Philippines,Wikido,1720
130,Portugal,Jaxbean,1726
131,Honduras,Flipbug,1089
132,Portugal,Leenti,1067
133,Japan,Agivu,1601
134,Netherlands,LiveZ,1464
135,Indonesia,Jetwire,1504
136,Russia,Pixoboo,1851
137,Portugal,Thoughtstorm,1708
138,Armenia,Realpoint,1223
139,France,Layo,1705
140,Indonesia,Wikido,1613
141,Bulgaria,Eadel,1367
142,Serbia,Voomm,1704
143,Sweden,Pixonyx,1916
144,Ukraine,Gabtune,1533
145,Sweden,Voolith,1039
146,Brazil,Livefish,1905
147,China,Skalith,1559
148,Mexico,Kayveo,1528
149,North Korea,Skinder,1805
150,Madagascar,Linkbuzz,1710
151,China,Quire,1446
152,Ukraine,DabZ,1067
153,China,Jayo,1863
154,Indonesia,Mydo,1459
155,Uzbekistan,Babbleblab,1763
156,Israel,Yata,1638
157,France,Jabberbean,1597
158,China,Jetwire,1173
159,Japan,Yadel,1305
160,Russia,Minyx,1777
161,Indonesia,Jaxnation,1576
162,North Korea,Trudeo,1337
163,Russia,Shufflester,1481
164,Ukraine,Chatterpoint,1125
165,United States,Rhycero,1609
166,Czech Republic,Zoozzy,1202
167,Philippines,Digitube,1648
168,Brazil,Jazzy,1672
169,Vietnam,Realmix,1002
170,Uzbekistan,Trupe,1483
171,Serbia,Skiptube,1356
172,North Korea,Yoveo,1552
173,Thailand,Avavee,1053
174,France,Zava,1270
175,China,Meevee,1389
176,Japan,Edgetag,1552
177,France,Divape,1912
178,Tanzania,Thoughtbridge,1981
179,China,Jaxworks,1872
180,Russia,Brainbox,1434
181,Russia,Jabbersphere,1803
182,France,Demivee,1827
183,Indonesia,Buzzbean,1950
184,Bulgaria,Jabberstorm,1043
185,Yemen,Gabspot,1538
186,Indonesia,Voolia,1069
187,Philippines,Rhyzio,1508
188,Comoros,Lazz,1217
189,Japan,Riffwire,1612
190,China,Realpoint,1303
191,Canada,Meetz,1083
192,Moldova,Flashdog,1357
193,United Kingdom,Edgewire,1265
194,Brazil,Kazio,1302
195,Philippines,Livepath,1215
196,Iraq,Mynte,1457
197,Portugal,Npath,1256
198,China,Brainbox,1248
199,Burundi,Jatri,1602
200,Micronesia,Leenti,1934
