id,Importers,Company,Export Value
1,Germany,Twinder,1079
2,Indonesia,Realbuzz,1995
3,China,Gabcube,1756
4,Russia,Topicshots,1018
5,China,Tagchat,1823
6,Philippines,Voonder,1121
7,Indonesia,Lazz,1160
8,Indonesia,Skivee,1313
9,China,Linkbridge,1775
10,China,Thoughtworks,1539
11,China,Aivee,1120
12,Sri Lanka,Topdrive,1109
13,United States,Lazz,1741
14,Indonesia,Feedmix,1976
15,Tunisia,Topicstorm,1097
16,Indonesia,Myworks,1509
17,Portugal,Tagopia,1869
18,Philippines,Mycat,1328
19,Philippines,Livetube,1176
20,Venezuela,Skivee,1639
21,Japan,Meetz,1278
22,Bosnia and Herzegovina,Minyx,1120
23,Indonesia,Midel,1785
24,Thailand,Livetube,1826
25,Cameroon,Yakijo,1121
26,China,Twitterbridge,1575
27,China,Agimba,1898
28,Finland,Centimia,1333
29,Portugal,Skaboo,1300
30,Kazakhstan,Feedbug,1970
31,Indonesia,Brainverse,1585
32,Philippines,Kanoodle,1529
33,France,Skipfire,1822
34,Philippines,Jabbersphere,1873
35,Macedonia,Wordpedia,1241
36,Indonesia,Bubbletube,1041
37,Philippines,Thoughtstorm,1677
38,China,Skyba,1574
39,Indonesia,Yodo,1333
40,China,Reallinks,1927
41,Luxembourg,Omba,1048
42,Russia,Realmix,1423
43,Canada,Oodoo,1244
44,Brazil,Dabvine,1780
45,China,Yodel,1827
46,Bahamas,Zoozzy,1808
47,Russia,Browsedrive,1914
48,Pakistan,Shufflebeat,1544
49,Estonia,Realcube,1594
50,Indonesia,Voolia,1583
51,Guatemala,Demizz,1001
52,Finland,Thoughtstorm,1352
53,Sweden,Mynte,1168
54,Portugal,Wikizz,1050
55,Sweden,Mybuzz,1430
56,China,Feedbug,1026
57,Philippines,Bluezoom,1045
58,United States,Quire,1751
59,Argentina,Aibox,1168
60,Russia,Photobug,1212
61,China,Buzzbean,1342
62,China,Meeveo,1723
63,Kazakhstan,Devpoint,1855
64,Portugal,Riffpath,1037
65,China,Devbug,1009
66,Poland,Lajo,1463
67,Indonesia,Geba,1498
68,China,Realfire,1373
69,China,Fliptune,1808
70,Democratic Republic of the Congo,Katz,1007
71,Ecuador,Plambee,1519
72,Ghana,Bubbletube,1254
73,China,Jetwire,1661
74,Serbia,Centizu,1733
75,Brazil,Photolist,1569
76,Senegal,Jetpulse,1863
77,Portugal,Mymm,1366
78,Indonesia,Twitternation,1934
79,China,Skinte,1704
80,China,Skidoo,1091
81,Philippines,Blogspan,1962
82,Philippines,Agimba,1661
83,Indonesia,Gigabox,1733
84,Portugal,Youopia,1707
85,South Africa,Linklinks,1155
86,Czech Republic,Realcube,1816
87,Russia,Blogspan,1521
88,Vietnam,Geba,1247
89,Brazil,Cogilith,1279
90,Hungary,Chatterpoint,1202
91,Gabon,Divanoodle,1186
92,Indonesia,Linkbuzz,1625
93,China,Gabtune,1024
94,China,Ntags,1837
95,Tunisia,Wordtune,1554
96,Netherlands,Linkbridge,1643
97,Croatia,Wordtune,1125
98,China,Wordware,1613
99,United States,Skyba,1286
100,Poland,Flashset,1749
101,China,Dabshots,1661
102,Indonesia,Wikizz,1928
103,Russia,Skivee,1780
104,Philippines,Quatz,1156
105,Germany,Dynazzy,1562
106,Peru,Skibox,1263
107,China,Viva,1348
108,Uzbekistan,Janyx,1691
109,Libya,Tagfeed,1654
110,China,Edgetag,1074
111,China,BlogXS,1970
112,China,Yakidoo,1690
113,China,Thoughtbridge,1766
114,Paraguay,Reallinks,1169
115,Denmark,Eire,1164
116,China,Skilith,1591
117,Ethiopia,Skimia,1475
118,Luxembourg,Livetube,1340
119,China,Yakijo,1482
120,Democratic Republic of the Congo,Viva,1159
121,China,Skinder,1326
122,China,Blogtag,1262
123,Indonesia,Tagpad,1811
124,Bolivia,Dynazzy,1171
125,Russia,Tagfeed,1890
126,France,Dabtype,1899
127,France,Skibox,1950
128,Canada,Buzzbean,1041
129,Philippines,Topicware,1793
130,Poland,Voonder,1461
131,Philippines,Eimbee,1369
132,China,Shufflester,1299
133,Sweden,Jabbersphere,1832
134,China,Rhycero,1999
135,China,Livepath,1190
136,Indonesia,Fivespan,1387
137,Afghanistan,Skilith,1511
138,China,Zoonoodle,1445
139,Cuba,Meembee,1530
140,Indonesia,Jabbertype,1696
141,Philippines,Oozz,1735
142,Mexico,Brainverse,1329
143,Zambia,Zoovu,1236
144,China,Fiveclub,1269
145,Indonesia,Ntag,1821
146,United States,Shufflebeat,1851
147,Syria,Skidoo,1205
148,Indonesia,Twitterwire,1735
149,China,Aimbo,1639
150,Philippines,Wordtune,1338
151,Armenia,Layo,1479
152,Indonesia,Plambee,1822
153,Bulgaria,Dabjam,1247
154,China,Divanoodle,1465
155,Ireland,Tagfeed,1309
156,Portugal,Zoonder,1813
157,Indonesia,Trilia,1224
158,China,Wikibox,1901
159,Brazil,Brightbean,1023
160,China,Youtags,1988
161,China,Eimbee,1617
162,China,Mita,1116
163,Brazil,Avavee,1252
164,Ukraine,Eazzy,1059
165,Sweden,Einti,1729
166,Indonesia,Gabtune,1908
167,Philippines,Aibox,1896
168,United States,Voolia,1689
169,Micronesia,Rhynoodle,1850
170,Colombia,Twimbo,1063
171,Ivory Coast,Blogspan,1516
172,Portugal,Yamia,1834
173,Indonesia,Oyoloo,1910
174,Russia,Gabspot,1296
175,Russia,Photospace,1653
176,Brazil,Oyoba,1620
177,China,Zoombeat,1339
178,Belarus,Linkbuzz,1601
179,United States,Buzzshare,1737
180,China,Plambee,1462
181,Belize,Kare,1751
182,Belarus,Gigaclub,1399
183,Portugal,Kazu,1047
184,Nigeria,Kwideo,1055
185,Japan,Youspan,1495
186,Indonesia,Riffpedia,1262
187,Portugal,Fliptune,1692
188,Russia,Fanoodle,1293
189,China,Muxo,1750
190,Kazakhstan,Youopia,1501
191,China,Devify,1244
192,Ukraine,Layo,1334
193,Poland,Buzzshare,1886
194,Philippines,Buzzdog,1581
195,Bolivia,Quatz,1742
196,Djibouti,Twitterwire,1976
197,China,Zazio,1245
198,Bulgaria,Photobean,1367
199,China,Yabox,1046
200,China,Riffpedia,1832
