id,Importers,Company,Export Value
1,Sweden,Skaboo,1758
2,Ireland,Meejo,1637
3,Colombia,Jaloo,1607
4,China,Katz,1466
5,China,Ooba,1239
6,Portugal,Jazzy,1179
7,Philippines,Gabcube,1665
8,South Africa,Youspan,1022
9,Albania,Voomm,1942
10,China,Flipstorm,1457
11,China,Plambee,1075
12,United Kingdom,Innojam,1358
13,Bolivia,Browsebug,1984
14,Czech Republic,Browseblab,1512
15,Russia,Npath,1266
16,Mexico,Twitternation,1148
17,Russia,Livefish,1957
18,Philippines,Quatz,1672
19,Brazil,Janyx,1149
20,Pakistan,Fivespan,1254
21,Philippines,BlogXS,1098
22,Philippines,Dablist,1391
23,Sudan,Devbug,1466
24,Philippines,Babbleset,1590
25,Poland,Flipstorm,1129
26,Peru,Topicware,1849
27,China,Riffpath,1009
28,Croatia,Oyoba,1251
29,Egypt,Centizu,1479
30,French Polynesia,Meeveo,1707
31,Japan,Zazio,1707
32,Burkina Faso,Zoomcast,1803
33,Indonesia,Zoomzone,1142
34,Kyrgyzstan,Browsecat,1715
35,Poland,Dynazzy,1436
36,Austria,Podcat,1405
37,Colombia,Zoomzone,1718
38,China,Aibox,1393
39,China,Skimia,1654
40,Malaysia,Kimia,1982
41,Nigeria,Trudoo,1501
42,Malaysia,Dynazzy,1757
43,United States,InnoZ,1597
44,Poland,Photobug,1317
45,Czech Republic,Yambee,1475
46,Palestinian Territory,Oyoyo,1777
47,Russia,Aivee,1502
48,China,Thoughtbridge,1420
49,Poland,Latz,1977
50,Indonesia,Skippad,1459
51,Yemen,Twiyo,1487
52,China,LiveZ,1566
53,Indonesia,Jayo,1025
54,China,Kaymbo,1327
55,Indonesia,Youopia,1217
56,Brazil,Meedoo,1106
57,China,Jaxbean,1458
58,France,Realblab,1023
59,France,Plambee,1457
60,China,Feedfish,1423
61,Philippines,Avavee,1091
62,Philippines,Cogilith,1927
63,Lebanon,Voonte,1659
64,Indonesia,Avavee,1508
65,Portugal,Topiczoom,1117
66,Brazil,Roombo,1353
67,Vietnam,Zoomdog,1669
68,Indonesia,Vidoo,1689
69,Kyrgyzstan,Shuffletag,1930
70,Indonesia,Gigaclub,1064
71,Iran,Zoomlounge,1719
72,Russia,Wikibox,1945
73,Peru,Voonyx,1852
74,Indonesia,Oloo,1363
75,China,Quimm,1390
76,Indonesia,Buzzshare,1298
77,China,Livepath,1101
78,Brazil,Zava,1763
79,Philippines,Ozu,1673
80,Iran,Flashpoint,1272
81,France,Tagtune,1805
82,Kazakhstan,Oyondu,1002
83,Brazil,Mita,1943
84,Colombia,Tambee,1706
85,Portugal,Quinu,1639
86,Syria,Skyvu,1060
87,Indonesia,Trudoo,1727
88,Iran,Vipe,1290
89,Paraguay,Quimm,1126
90,Peru,Thoughtstorm,1985
91,Portugal,Dablist,1753
92,China,Devcast,1029
93,Ukraine,Tazzy,1496
94,Indonesia,Thoughtmix,1015
95,North Korea,Avamm,1763
96,Russia,Teklist,1955
97,Japan,Skalith,1901
98,United States,Snaptags,1267
99,Honduras,Eidel,1658
100,Greece,Babbleset,1078
101,Japan,Fatz,1827
102,Russia,Skimia,1981
103,United States,Abata,1591
104,Portugal,Browsecat,1576
105,Indonesia,Skivee,1659
106,Greece,Dabshots,1710
107,Czech Republic,Flashdog,1554
108,Sweden,Buzzshare,1514
109,Argentina,Tavu,1009
110,Cameroon,Zava,1215
111,Syria,Nlounge,1237
112,China,Jayo,1681
113,Panama,Muxo,1296
114,Colombia,Mydeo,1786
115,Russia,Eidel,1338
116,Sweden,Gevee,1427
117,China,Einti,1952
118,Kosovo,Tavu,1347
119,China,Gabspot,1927
120,Finland,Katz,1435
121,Sweden,Dabfeed,1647
122,Russia,Trilith,1926
123,Czech Republic,Youtags,1427
124,Greece,Fatz,1928
125,Botswana,Gabtype,1911
126,Sri Lanka,Photobean,1671
127,Philippines,Photobug,1970
128,Brazil,Devpoint,1362
129,Mexico,Wordify,1481
130,China,Jabberstorm,1669
131,Serbia,Jamia,1548
132,Philippines,Rhyloo,1290
133,China,Voomm,1620
134,Greece,Pixoboo,1345
135,Uganda,Voonyx,1518
136,Russia,Shuffledrive,1419
137,Japan,Minyx,1948
138,China,Tagcat,1929
139,Finland,DabZ,1027
140,Sweden,Jetwire,1166
141,Ivory Coast,Buzzdog,1711
142,China,Eayo,1306
143,Georgia,Abata,1859
144,United States,Yambee,1899
145,Indonesia,Myworks,1680
146,China,Skipfire,1722
147,Albania,Trudeo,1418
148,Brazil,Trudoo,1852
149,Iran,Demivee,1203
150,Indonesia,Meezzy,1925
151,Indonesia,Flashdog,1139
152,Azerbaijan,Katz,1216
153,Indonesia,Jetwire,1861
154,Indonesia,Wikizz,1664
155,Mongolia,Wikido,1757
156,Colombia,Zoombeat,1426
157,Tunisia,Npath,1126
158,Iran,Snaptags,1419
159,Yemen,Nlounge,1776
160,Indonesia,Buzzbean,1751
161,Indonesia,Edgeify,1226
162,Poland,Mudo,1307
163,Philippines,Skipstorm,1762
164,Brazil,Yabox,1767
165,China,Pixope,1818
166,Brazil,Babbleblab,1417
167,China,Divavu,1605
168,Tanzania,Skipstorm,1306
169,China,Centidel,1725
170,Greece,Meemm,1178
171,Japan,Jaxbean,1841
172,Portugal,Youopia,1713
173,Egypt,Dazzlesphere,1875
174,Zambia,Aimbu,1877
175,Malaysia,Tekfly,1748
176,Indonesia,Thoughtbridge,1495
177,China,Skilith,1855
178,China,Kazio,1765
179,Czech Republic,Jaloo,1173
180,Ireland,Zoombox,1966
181,France,Skivee,1511
182,Russia,Devbug,1896
183,Czech Republic,Feedbug,1794
184,Croatia,Quaxo,1021
185,China,Eazzy,1796
186,Netherlands,Wordify,1570
187,Peru,Tazzy,1665
188,Indonesia,Yacero,1738
189,Philippines,Rhyloo,1766
190,Poland,Buzzster,1918
191,Philippines,Livepath,1637
192,Micronesia,Vinder,1932
193,Guatemala,Jabberbean,1664
194,China,Dabshots,1725
195,Indonesia,Realbuzz,1589
196,Indonesia,Skimia,1425
197,Serbia,Vinte,1972
198,United Kingdom,Skynoodle,1176
199,Thailand,Shufflebeat,1554
200,Brazil,BlogXS,1635
